<<<<<<< HEAD
Case #1: WHITE
Case #2: BLACK
Case #3: BLACK
Case #4: BLACK
Case #5: WHITE
Case #6: BLACK
Case #7: WHITE
Case #8: BLACK
Case #9: WHITE
Case #10: BLACK
Case #11: WHITE
Case #12: BLACK
Case #13: WHITE
Case #14: WHITE
Case #15: BLACK
Case #16: WHITE
Case #17: WHITE
Case #18: WHITE
Case #19: WHITE
Case #20: WHITE
Case #21: WHITE
Case #22: WHITE
Case #23: BLACK
Case #24: WHITE
Case #25: WHITE
Case #26: WHITE
Case #27: BLACK
Case #28: BLACK
Case #29: BLACK
Case #30: BLACK
Case #31: WHITE
Case #32: BLACK
Case #33: BLACK
Case #34: WHITE
Case #35: BLACK
Case #36: WHITE
Case #37: WHITE
Case #38: WHITE
Case #39: BLACK
Case #40: WHITE
Case #41: WHITE
Case #42: WHITE
Case #43: BLACK
Case #44: WHITE
Case #45: BLACK
Case #46: WHITE
Case #47: WHITE
Case #48: BLACK
Case #49: BLACK
Case #50: BLACK
Case #51: BLACK
Case #52: BLACK
Case #53: BLACK
Case #54: BLACK
Case #55: BLACK
Case #56: BLACK
Case #57: WHITE
Case #58: BLACK
Case #59: BLACK
Case #60: BLACK
Case #61: BLACK
Case #62: BLACK
Case #63: BLACK
Case #64: WHITE
Case #65: BLACK
Case #66: WHITE
Case #67: WHITE
Case #68: WHITE
Case #69: BLACK
Case #70: BLACK
Case #71: BLACK
Case #72: WHITE
Case #73: BLACK
Case #74: BLACK
Case #75: BLACK
Case #76: WHITE
Case #77: WHITE
Case #78: BLACK
Case #79: WHITE
Case #80: WHITE
Case #81: BLACK
Case #82: WHITE
Case #83: WHITE
Case #84: WHITE
Case #85: BLACK
Case #86: WHITE
Case #87: BLACK
Case #88: WHITE
Case #89: BLACK
Case #90: BLACK
Case #91: BLACK
Case #92: WHITE
Case #93: BLACK
Case #94: WHITE
Case #95: WHITE
Case #96: BLACK
Case #97: WHITE
Case #98: BLACK
Case #99: BLACK
Case #100: BLACK
Case #101: WHITE
Case #102: WHITE
Case #103: BLACK
Case #104: BLACK
Case #105: BLACK
Case #106: BLACK
Case #107: BLACK
Case #108: WHITE
Case #109: WHITE
Case #110: BLACK
Case #111: BLACK
Case #112: WHITE
Case #113: WHITE
Case #114: BLACK
Case #115: BLACK
Case #116: BLACK
Case #117: BLACK
Case #118: BLACK
Case #119: WHITE
Case #120: WHITE
Case #121: BLACK
Case #122: BLACK
Case #123: BLACK
Case #124: BLACK
Case #125: BLACK
Case #126: BLACK
Case #127: BLACK
Case #128: WHITE
Case #129: WHITE
Case #130: BLACK
Case #131: BLACK
Case #132: BLACK
Case #133: WHITE
Case #134: WHITE
Case #135: BLACK
Case #136: WHITE
Case #137: BLACK
Case #138: BLACK
Case #139: WHITE
Case #140: WHITE
Case #141: WHITE
Case #142: BLACK
Case #143: BLACK
Case #144: WHITE
Case #145: BLACK
Case #146: WHITE
Case #147: WHITE
Case #148: BLACK
Case #149: BLACK
Case #150: WHITE
Case #151: WHITE
Case #152: BLACK
Case #153: BLACK
Case #154: BLACK
Case #155: WHITE
Case #156: WHITE
Case #157: WHITE
Case #158: BLACK
Case #159: WHITE
Case #160: WHITE
Case #161: WHITE
Case #162: BLACK
Case #163: BLACK
Case #164: WHITE
Case #165: WHITE
Case #166: BLACK
Case #167: WHITE
Case #168: WHITE
Case #169: BLACK
Case #170: WHITE
Case #171: WHITE
Case #172: WHITE
Case #173: BLACK
Case #174: BLACK
Case #175: BLACK
Case #176: WHITE
Case #177: WHITE
Case #178: BLACK
Case #179: WHITE
Case #180: WHITE
Case #181: BLACK
Case #182: WHITE
Case #183: WHITE
Case #184: WHITE
Case #185: WHITE
Case #186: WHITE
Case #187: BLACK
Case #188: WHITE
Case #189: WHITE
Case #190: WHITE
Case #191: WHITE
Case #192: WHITE
Case #193: WHITE
Case #194: BLACK
Case #195: WHITE
Case #196: BLACK
Case #197: BLACK
Case #198: BLACK
Case #199: WHITE
Case #200: BLACK
Case #201: WHITE
Case #202: WHITE
Case #203: BLACK
Case #204: WHITE
Case #205: BLACK
Case #206: BLACK
Case #207: WHITE
Case #208: BLACK
Case #209: WHITE
Case #210: BLACK
Case #211: BLACK
Case #212: BLACK
Case #213: WHITE
Case #214: WHITE
Case #215: WHITE
Case #216: BLACK
Case #217: WHITE
Case #218: WHITE
Case #219: WHITE
Case #220: WHITE
Case #221: WHITE
Case #222: WHITE
Case #223: WHITE
Case #224: BLACK
Case #225: WHITE
Case #226: BLACK
Case #227: WHITE
Case #228: BLACK
Case #229: WHITE
Case #230: BLACK
Case #231: BLACK
Case #232: BLACK
Case #233: BLACK
Case #234: WHITE
Case #235: BLACK
Case #236: BLACK
Case #237: WHITE
Case #238: BLACK
Case #239: WHITE
Case #240: BLACK
Case #241: WHITE
Case #242: BLACK
Case #243: BLACK
Case #244: WHITE
Case #245: WHITE
Case #246: BLACK
Case #247: WHITE
Case #248: WHITE
Case #249: WHITE
Case #250: BLACK
Case #251: WHITE
Case #252: WHITE
Case #253: BLACK
Case #254: WHITE
Case #255: BLACK
Case #256: BLACK
Case #257: BLACK
Case #258: BLACK
Case #259: BLACK
Case #260: BLACK
Case #261: BLACK
Case #262: WHITE
Case #263: BLACK
Case #264: WHITE
Case #265: WHITE
Case #266: BLACK
Case #267: BLACK
Case #268: BLACK
Case #269: WHITE
Case #270: BLACK
Case #271: WHITE
Case #272: BLACK
Case #273: WHITE
Case #274: BLACK
Case #275: BLACK
Case #276: WHITE
Case #277: BLACK
Case #278: BLACK
Case #279: BLACK
Case #280: WHITE
Case #281: WHITE
Case #282: WHITE
Case #283: BLACK
Case #284: WHITE
Case #285: BLACK
Case #286: BLACK
Case #287: BLACK
Case #288: WHITE
Case #289: WHITE
Case #290: BLACK
Case #291: WHITE
Case #292: WHITE
Case #293: WHITE
Case #294: WHITE
Case #295: WHITE
Case #296: BLACK
Case #297: BLACK
Case #298: WHITE
Case #299: BLACK
Case #300: WHITE
Case #301: WHITE
Case #302: BLACK
Case #303: WHITE
Case #304: BLACK
Case #305: WHITE
Case #306: WHITE
Case #307: WHITE
Case #308: WHITE
Case #309: WHITE
Case #310: WHITE
Case #311: WHITE
Case #312: BLACK
Case #313: WHITE
Case #314: WHITE
Case #315: BLACK
Case #316: BLACK
Case #317: WHITE
Case #318: WHITE
Case #319: WHITE
Case #320: BLACK
Case #321: BLACK
Case #322: BLACK
Case #323: BLACK
Case #324: BLACK
Case #325: BLACK
Case #326: WHITE
Case #327: WHITE
Case #328: WHITE
Case #329: BLACK
Case #330: WHITE
Case #331: WHITE
Case #332: BLACK
Case #333: BLACK
Case #334: BLACK
Case #335: WHITE
Case #336: BLACK
Case #337: BLACK
Case #338: BLACK
Case #339: BLACK
Case #340: BLACK
Case #341: WHITE
Case #342: BLACK
Case #343: WHITE
Case #344: BLACK
Case #345: WHITE
Case #346: WHITE
Case #347: BLACK
Case #348: WHITE
Case #349: BLACK
Case #350: WHITE
Case #351: BLACK
Case #352: BLACK
Case #353: WHITE
Case #354: WHITE
Case #355: BLACK
Case #356: BLACK
Case #357: BLACK
Case #358: WHITE
Case #359: BLACK
Case #360: WHITE
Case #361: BLACK
Case #362: BLACK
Case #363: BLACK
Case #364: BLACK
Case #365: WHITE
Case #366: BLACK
Case #367: WHITE
Case #368: WHITE
Case #369: WHITE
Case #370: WHITE
Case #371: BLACK
Case #372: BLACK
Case #373: BLACK
Case #374: WHITE
Case #375: BLACK
